"","Geo_FIPS","X","fips10","incpc.0","dpov.0","npov.0","pop.0","incpc.1","dpov.1","npov.1","pop.1","incpc.2","dpov.2","npov.2","pop.2","incpc.3","dpov.3","npov.3","pop.3","incpc.4","dpov.4","npov.4","pop.4","trtid10","trctpop7","tractid","state","county","tract","placefp10","cbsa10","metdiv10","ccflag10","pop70","asian70","pop80","nhwht80","nhblk80","asian80","hisp80","pop90","nhwht90","nhblk90","asian90","hisp90","pop00","nhwht00","nhblk00","asian00","hisp00","pop10","nhwht10","nhblk10","asian10","hisp10","nhwht70","nhblk70","hisp70","wbha70","wbha80","wbha90","wbha00","wbha10","pw70","pb70","ph70","pa70","pw80","pb80","ph80","pa80","pw90","pb90","ph90","pa90","pw00","pb00","ph00","pa00","pw10","pb10","ph10","pa10","trtid10str"
"242","24031700834",22287,24031700834,939.511199951172,288.354176425995,0,6,3043.98281279516,73.0985105544994,0,1,9423.89200115521,3091.97159179862,1,62,13650.5232773423,4396.17778277397,3,88,32202,5033,11,101,2.403e+10,183.0904713,2.403e+10,"MD","Montgomery County","Census Tract 7008.34",32025,47900,13644,0,294.6982,0,68.56123,1,0,0,0,3101.001,46,6,6,4,4402.699,47,16,15,9,4885,28,32,14,22,6,0,0,297.4041,68.55503,3088.46,4353.541,4851,0.9347551,0.0537989,0.0101199,0.0013262,0.8681131,0.1099359,0.014634,0.007317,0.7393211,0.1029722,0.0622056,0.0955011,0.5386565,0.1886162,0.0995506,0.1731766,0.2898372,0.3347763,0.2317048,0.1436817,"24031700834"
"243","24031700835",22288,24031700835,933.451370239258,286.494297130438,0,6,3024.34917793778,72.6270264650319,0,1,9363.10806580961,3072.02843017248,1,62,13562.4775336683,4367.82247841358,3,87,39220,4567,1,91,2.403e+10,181.9095396,2.403e+10,"MD","Montgomery County","Census Tract 7008.35",32025,47900,13644,0,292.7974,0,68.11901,1,0,0,0,3080.999,45,6,6,4,4374.301,47,16,15,9,4616,36,16,28,12,6,0,0,295.3822,68.11285,3068.54,4325.46,4587,0.9343827,0.0541671,0.0101235,0.0013267,0.868113,0.1099359,0.014634,0.007317,0.7393211,0.1029722,0.0622056,0.0955011,0.5386565,0.1886162,0.0995506,0.1731766,0.3904513,0.1704818,0.1284064,0.3106606,"24031700835"
"244","24031700901",22289,24031700901,3827.12983322144,2068.35023795123,8,32,10295.8172963733,1982.32192494401,3,40,20607.5147108104,2403.3699920188,4,49,26376.2978994617,2884.78945744841,8,58,38424,3420,7,68,2.403e+10,1740.729737,2.403e+10,"MD","Montgomery County","Census Tract 7009.01",67675,47900,13644,1,2252.805,0,2052.457,32,6,2,2,2422.164,29,9,5,6,2852.794,27,10,12,8,4058,39,10,23,8,29,14,0,2190.368,2043.529,2407.038,2818.771,4035,0.6651849,0.330538,0.002296,0.0019811,0.7709529,0.147369,0.0420062,0.0396718,0.6061794,0.1786028,0.1147659,0.1004519,0.4803608,0.1742864,0.1345301,0.2108227,0.4874845,0.1254027,0.1038414,0.2832714,"24031700901"
"245","24031700902",22290,24031700902,4248.31369400024,4628.90074207313,10,90,6864.119135399,3649.25878563924,11,74,14169.0000136083,3623.00000347962,9,73,18149,3533,10,71,28085,3241,2,65,2.403e+10,4705,2.403e+10,"MD","Montgomery County","Census Tract 7009.02",67675,47900,13644,1,4437.104,0,3620.709,46,21,2,2,3674,40,22,4,7,3686,30,19,8,17,3759,25,15,11,24,62,25,0,4378.966,3580.382,3653,3641,3722,0.7077013,0.2865973,0.0047957,0.0009058,0.6470562,0.2948191,0.0305166,0.0276081,0.5532439,0.2967424,0.0952642,0.0547495,0.4073057,0.2543257,0.2318044,0.1065641,0.3355723,0.1998925,0.3194519,0.1450833,"24031700902"
"246","24031700903",22291,24031700903,5268.5756957531,1707.47039141381,2,42,5.40208395270747,2.02283957225154,0,42,18906.5622580899,1675.18091662922,5,34,21598.0368909313,1962.94586254054,6,40,29484,1606,4,32,2.403e+10,1707.470344,2.403e+10,"MD","Montgomery County","Census Tract 7009.03",67675,47900,13644,1,1756.454,0,2021.126,31,7,1,1,1717.146,24,5,2,3,1853.003,19,9,4,5,1920,15,9,5,10,29,6,1,1780.073,2010.113,1700.15,1811.002,1899,0.8100793,0.1561734,0.0326126,0.0011346,0.7776297,0.1636325,0.0258803,0.0328575,0.7070194,0.1464376,0.1000108,0.0465323,0.5134729,0.2401531,0.1276096,0.1187644,0.3891522,0.2259084,0.2643497,0.1205898,"24031700903"
"247","24031700904",22292,24031700904,4456.89877774031,1768.92339813296,4,37,7499.92633251387,1195.03394336922,3,24,15131.8639309312,1634.47917979711,3,33,21811.0845825497,1736.02041910478,3,35,37309,2617,3,52,2.403e+10,1824.029199,2.403e+10,"MD","Montgomery County","Census Tract 7009.04",67675,47900,13644,1,1697.944,1,1256.117,18,2,2,2,1601.476,17,2,7,5,1772.021,11,3,18,4,2578,16,5,25,5,29,3,3,1806.747,1220.8,1598.208,1753.02,2551,0.7981195,0.0891104,0.0852366,0.0275334,0.7450501,0.0814902,0.0742653,0.0991945,0.5426062,0.0756368,0.1500903,0.2316666,0.3194556,0.0792925,0.1021121,0.4991398,0.3183065,0.0925127,0.1027048,0.4864759,"24031700904"
"248","24031700905",22293,24031700905,6599.13400611281,3639.88912149615,1,67,9433.2361056032,3258.84040853647,5,65,18908.1553030927,3506.69408146827,9,70,25275.1106365053,3937.65061927924,11,79,33786,4056,2,81,2.403e+10,3639.805328,2.403e+10,"MD","Montgomery County","Census Tract 7009.05",67675,47900,13644,1,3644.907,2,3267.844,45,1,12,5,3578.698,44,2,18,8,3945.653,40,3,28,7,3922,36,3,34,5,67,0,5,3683.062,3127.835,3571.694,3904.635,3876,0.9049537,0.0021721,0.0706062,0.022268,0.7141331,0.0121565,0.0764282,0.1972821,0.6130221,0.0226844,0.113687,0.2506065,0.5146298,0.0389345,0.091703,0.3547328,0.4613003,0.0415377,0.0650155,0.4321465,"24031700905"
"249","24031701001",22294,24031701001,6498.07821655273,3373.07165262443,2,66,11553.6683115905,4047.40177701316,4,84,23071.929361618,4904.12185840713,3,102,35125,5218,7,108,43077,5175,6,109,2.403e+10,3779,2.403e+10,"MD","Montgomery County","Census Tract 7010.01",67675,47900,13644,1,3382.427,0,4163.05,69,5,5,3,5107.326,78,4,10,9,5397,72,8,17,9,5421,64,9,23,12,62,3,3,3370.579,4124.553,5093.714,5333,5396,0.9149764,0.0403492,0.0409425,0.0037319,0.8328468,0.0661756,0.0358718,0.0651059,0.770376,0.0387479,0.0885665,0.1023096,0.6759797,0.0729421,0.088318,0.1627602,0.5930319,0.0863603,0.1093403,0.2112676,"24031701001"
"250","24031701002",22295,24031701002,7624.00341796875,3063.00003351853,0,67,11935.0001306052,2470.00002702931,2,55,29506.0003228853,3275.00003583846,2,79,38944,3075,1,72,79564,3557,0,71,2.403e+10,3063,2.403e+10,"MD","Montgomery County","Census Tract 7010.02",67675,47900,13644,1,3023,1,2797,49,3,2,1,3995,60,9,7,4,3608,53,8,7,4,3675,52,5,10,5,57,1,1,3015,2768,3979,3586,3662,0.945937,0.014262,0.0222222,0.0175788,0.890896,0.0596098,0.0198699,0.0296243,0.7559688,0.1115858,0.0485047,0.0839407,0.7434467,0.1081986,0.054657,0.0936977,0.7110868,0.0742764,0.0715456,0.1430912,"24031701002"
"251","24031701004",22296,24031701004,7676.2880859375,6643.0837541676,1,133,11655.3383535411,6089.16075483421,3,122,23591.1314148527,5255.78110718849,7,106,32590.6333318949,4968.33994996548,6,100,45005,5106,7,102,2.403e+10,6643.08371,2.403e+10,"MD","Montgomery County","Census Tract 7010.04",67675,47900,13644,1,6543.278,2,6012.31,104,5,5,4,5245.8,84,6,6,9,4976.324,72,10,9,7,5055,68,12,12,8,124,2,1,6436.746,5950.431,5236.818,4936.402,5026,0.9660161,0.0136715,0.0080629,0.0122495,0.8780611,0.0399195,0.0370681,0.0449514,0.8008386,0.0531732,0.0855727,0.0604155,0.7315001,0.0986656,0.0756167,0.0942175,0.6752885,0.1201751,0.0843613,0.1201751,"24031701004"
